"chembl_id","canonical_smiles","ic50"
"CHEMBL2369408","CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(N)=O","340"
"CHEMBL327756","O=P(O)(O)C(Nc1nccn1-c1ccccc1)P(=O)(O)O","599.79"
"CHEMBL125901","O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2ccncc2)cc1","176"
"CHEMBL125901","O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2ccncc2)cc1","1.2"
"CHEMBL125901","O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2ccncc2)cc1","341"
"CHEMBL125901","O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2ccncc2)cc1","275"
"CHEMBL156890","CC(=O)OCCOn1cnc2c(S)nc(N)nc21","3200"
"CHEMBL156890","CC(=O)OCCOn1cnc2c(S)nc(N)nc21","2000"
"CHEMBL156890","CC(=O)OCCOn1cnc2c(S)nc(N)nc21","8900"
"CHEMBL156890","CC(=O)OCCOn1cnc2c(S)nc(N)nc21","7500"
"CHEMBL156890","CC(=O)OCCOn1cnc2c(S)nc(N)nc21","5000"
"CHEMBL156890","CC(=O)OCCOn1cnc2c(S)nc(N)nc21","4900"
"CHEMBL156890","CC(=O)OCCOn1cnc2c(S)nc(N)nc21","4200"
"CHEMBL305977","CNCC(=O)N(C)c1ccccc1-c1cnc(Nc2ccc(-c3cnco3)c(OC)c2)o1","22"
"CHEMBL305977","CNCC(=O)N(C)c1ccccc1-c1cnc(Nc2ccc(-c3cnco3)c(OC)c2)o1","960"
"CHEMBL101565","Nc1nc(O)c2c(n1)NCC(c1ccccc1)N2","7300"
"CHEMBL327287","Nc1nc(N)c2c(n1)NCC(c1ccccc1)N2","6000"
"CHEMBL2369741","CCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H]1CCC(=O)NCCCC[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H](C(N)=O)[C@@H](C)CC)[C@@H](C)CC)NC(=O)[C@@H](C)NC(=O)[C@H](CCC(N)=O)NC1=O","10.2"
